ano,domingo,final_semana,inicio_semana,jueves,lunes,martes,miercoles,nro_semana,sabado,viernes,active
2015,False,2015-01-04,2014-12-29,False,True,True,False,1,True,True,True
2015,False,2015-01-11,2015-01-05,True,True,True,True,2,True,True,True
2015,False,2015-01-18,2015-01-12,True,True,True,True,3,True,True,True
2015,False,2015-01-25,2015-01-19,True,True,True,True,4,True,True,True
2015,False,2015-02-01,2015-01-26,True,True,True,True,5,True,True,True
2015,False,2015-02-15,2015-02-09,True,True,True,True,7,True,True,True
2015,False,2015-02-22,2015-02-16,True,True,True,True,8,True,True,True
2015,False,2015-03-01,2015-02-23,True,True,True,True,9,True,True,True
2015,False,2015-03-08,2015-03-02,True,True,True,True,10,True,True,True
2015,False,2015-03-15,2015-03-09,True,True,True,True,11,True,True,True
2015,False,2015-03-22,2015-03-16,True,True,True,True,12,True,True,True
2015,False,2015-03-29,2015-03-23,True,True,True,True,13,True,True,True
2015,False,2015-04-05,2015-03-30,True,True,True,True,14,True,True,True
2015,False,2015-04-12,2015-04-06,True,True,True,True,15,True,True,True
2015,False,2015-04-19,2015-04-13,True,True,True,True,16,True,True,True
2015,False,2015-04-26,2015-04-20,True,True,True,True,17,True,True,True
2015,False,2015-05-03,2015-04-27,True,True,True,True,18,True,True,True
2015,False,2015-05-10,2015-05-04,True,True,True,True,19,True,True,True
2015,False,2015-05-17,2015-05-11,True,True,True,True,20,True,True,True
2015,False,2015-05-24,2015-05-18,True,True,True,True,21,True,True,True
2015,False,2015-05-31,2015-05-25,True,True,True,True,22,True,True,True
2015,False,2015-06-07,2015-06-01,True,True,True,True,23,True,True,True
2015,False,2015-06-14,2015-06-08,True,True,True,True,24,True,True,True
2015,False,2015-06-21,2015-06-15,True,True,True,True,25,True,True,True
2015,False,2015-06-28,2015-06-22,True,True,True,True,26,True,True,True
2015,False,2015-07-05,2015-06-29,True,True,True,True,27,True,True,True
2015,False,2015-07-12,2015-07-06,True,True,True,True,28,True,True,True
2015,False,2015-07-19,2015-07-13,True,True,True,True,29,True,True,True
2015,False,2015-07-26,2015-07-20,True,True,True,True,30,True,True,True
2015,False,2015-08-02,2015-07-27,True,True,True,True,31,True,True,True
2015,False,2015-08-09,2015-08-03,True,True,True,True,32,True,True,True
2015,False,2015-08-16,2015-08-10,True,True,True,True,33,True,True,True
2015,False,2015-08-23,2015-08-17,True,True,True,True,34,True,True,True
2015,False,2015-08-30,2015-08-24,True,True,True,True,35,True,True,True
2015,False,2015-09-06,2015-08-31,True,True,True,True,36,True,True,True
2015,False,2015-09-13,2015-09-07,True,True,True,True,37,True,True,True
2015,False,2015-09-20,2015-09-14,True,True,True,True,38,True,True,True
2015,False,2015-05-27,2015-09-21,True,True,True,True,39,True,True,True
2015,False,2015-10-04,2015-09-28,True,True,True,True,40,True,True,True
2015,False,2015-10-11,2015-10-05,True,True,True,True,41,True,True,True
2015,False,2015-10-18,2015-10-12,True,True,True,True,42,True,True,True
2015,False,2015-10-25,2015-10-19,True,True,True,True,43,True,True,True
2015,False,2015-11-01,2015-10-26,True,True,True,True,44,True,True,True
2015,False,2015-11-08,2015-11-02,True,True,True,True,45,True,True,True
2015,False,2015-11-15,2015-11-09,False,False,False,False,46,True,False,True
2015,False,2015-11-22,2015-11-16,True,True,True,True,47,True,True,True
2015,False,2015-11-29,2015-11-23,True,True,True,True,48,True,True,True
2015,False,2015-12-06,2015-11-30,True,True,True,True,49,True,True,True
2015,False,2015-12-13,2015-12-07,True,True,True,True,50,True,True,True
2015,False,2015-12-20,2015-12-14,True,True,True,True,51,True,True,True
2015,False,2015-12-27,2015-12-21,True,True,True,True,52,True,True,True
2015,False,2016-01-03,2015-12-28,True,True,True,True,53,True,True,True
2015,False,2015-02-08,2015-02-02,True,True,True,True,6,True,True,True
