motores_economicos_id,denominacion,horas,identificador,modalidad_id
Agrícola,HUERTO FAMILIAR,266,0101C120003,Curso
Agrícola,PRODUCTOR (A) AVÍCOLA,306,0103S120002,Curso
Industrias,ELABORACION DE PRODUCTOS EN MADERA PINO CARIBE,960,0401C310001,Curso
Industrias,MÁQUINAS ELÉCTRICAS Y CONTROL,666,0601C120003,Curso
Industrias,MONTADOR E INSTALADOR DE SISTEMAS NAVALES PARA CONSTRUCCIÓN Y REPARACIÓN NAVAL EN C.D.C,1102,0601S320002,Salida Ocupacional
Agrícola,LOMBRICULTURA,166,9901C120231,Curso
Agrícola,CULTIVO DE TRUCHAS,201,9901C120232,Curso
Agrícola,USO Y MANTENIMIENTO DE TRACTORES E IMPLEMENTOS AGRÍCOLAS,306,9901C120233,Curso
Agrícola,CULTIVO DE MELÓN,266,9901C120234,Curso
Agrícola,EXPLOTACIÓN DE PONEDORAS,166,9901C120235,Curso
Agrícola,CRÍA DE POLLOS DE ENGORDE,286,9901C120236,Curso
Agrícola,AHUMADO DE PESCADO,186,9901C120238,Curso
Agrícola,CONSTRUCCIÓN Y REPARACIÓN DE ARTES DE PESCA,286,9901C120240,Curso
Agrícola,AGROECOLOGÍA Y DESARROLLO SUSTENTABLE,199,9901C120241,Curso
Agrícola,CULTIVO DE RAÍCES Y TUBÉRCULOS,246,9901C120242,Curso
Agrícola,CULTIVO DE LECHOSA,266,9901C120244,Curso
Agrícola,INSEMINACIÓN ARTIFICIAL EN GANADO VACUNO,166,9901C120245,Curso
Agrícola,PROCESAMIENTO Y CONSERVACIÓN DE TOMATES,60,9901C120246,Curso
Agrícola,VIVERISTA PROPAGADOR DE PLANTAS,366,9901C120247,Curso
Agrícola,CULTIVO DE LEGUMINOSAS,416,9901C120248,Curso
Agrícola,CULTIVO DE MAÍZ,266,9901C120249,Curso
Agrícola,CRÍA DE BÚFALOS,326,9901C120250,Curso
Agrícola,MECÁNICA Y MANEJO DE MAQUINARIAS AGRÍCOLAS,266,9901C120251,Curso
Agrícola,CULTIVO DE SOLANÁCEAS,376,9901C120279,Curso
Agrícola,GRANJAS INTEGRALES,366,9901C120282,Curso
Agrícola,"MANEJO INTEGRADO DE PLAGAS, ENFERMEDADES Y MALEZAS EN LOS CULTIVOS",286,9901C120283,Curso
Agrícola,MANEJO DE CONTROLADORES BIOLÓGICOS,65,9901C120284,Curso
Agrícola,MANEJO SANITARIO DE BOVINOS,136,9901C120285,Curso
Agrícola,PRODUCCIÓN DE BIOGAS Y BIABONO CON EL USO DEL BIODIGESTOR,156,9901C120286,Curso
Agrícola,RECICLAJE DE DESECHOS ORGÁNICOS,206,9901C120287,Curso
Agrícola,REFRIGERACIÓN NAVAL,266,9901C120288,Curso
Agrícola,MANEJO DE SUELOS Y FERTILIZANTES,226,9901C120289,Curso
Agrícola,CONTROL DE ENFERMEDADES DEL CACAO,55,9901C220204,Curso
Agrícola,CULTIVO DE SOYA,266,9901C320208,Curso
Agrícola,PRODUCCIÓN DE GANADO BOVINO DE DOBLE PROPÓSITO (LECHE Y CARNE),266,9901C320252,Curso
Agrícola,CRÍA DE CERDOS,306,9901C320253,Curso
Agrícola,DISEÑO Y MANTENIMIENTO DE ÁREAS VERDES,506,9901C320254,Curso
Agrícola,ASISTENCIA AL VETERINARIO,306,9901C320255,Curso
Agrícola,CULTIVO DE ARROZ,509,9901C320256,Curso
Agrícola,CULTIVO DE CACAO,366,9901C320257,Curso
Agrícola,CULTIVO DE FLORES DE CORTE,386,9901C320258,Curso
Agrícola,CULTIVO DE MUSÁCEAS,266,9901C320259,Curso
Agrícola,CULTIVO DE PIÑA,266,9901C320261,Curso
Agrícola,CULTIVO DE HIDROPONIA,266,9901C320262,Curso
Agrícola,ELABORACIÓN DE PRODUCTOS A BASE DE ZÁBILA,206,9901C320263,Curso
Agrícola,GRANJAS INTEGRALES,866,9901C320264,Curso
Agrícola,JARDINERÍA DE MANTENIMIENTO,266,9901C320265,Curso
Agrícola,OPERADOR DE RIEGO,186,9901C320266,Curso
Agrícola,PROCESAMIENTO DE YUCA,241,9901C320267,Curso
Agrícola,ADMINISTRACIÓN DE EMPRESAS AGROPECUARIAS,186,9901C320268,Curso
Agrícola,CRÍA DE AVESTRUZ,366,9901C320269,Curso
Agrícola,CULTIVO DE CAÑA DE AZUCAR,356,9901C320270,Curso
Agrícola,CULTIVO DE PALMA ACEITERA AFRICANA,366,9901C320271,Curso
Agrícola,ELABORACIÓN DE PRODUCTOS CÁRNICOS AHUMADOS,186,9901C320272,Curso
Agrícola,ELABORACIÓN DE PRODUCTOS LÁCTEOS,231,9901C320273,Curso
Agrícola,MOTORISTA DE SEGUNDA CLASE,986,9901C320274,Curso
Agrícola,PRODUCCIÓN DE PASTOS Y FORRAJES,216,9901C320275,Curso
Agrícola,CULTIVO DE ZÁBILA,196,9901C320276,Curso
Agrícola,PATRÓN DE SEGUNDA CLASE,1246,9901C320277,Curso
Agrícola,CULTIVOS ORGANOPÓNICOS,186,9901C320278,Curso
Agrícola,MANEJO AGROECOLÓGICO DEL CAFETAL,226,9901E220002,Especializacion
Agrícola,APICULTOR,186,9901S320174,Curso
Agrícola,CRIADOR DE OVINOS Y CAPRINOS,416,9901S320176,Curso
Agrícola,CULTIVADOR (A) AGROECOLÓGICO DE CAFÉ,536,9901S320177,Curso
Agrícola,CULTIVADOR DE ALGODÓN,426,9901S320178,Curso
Agrícola,CUNICULTOR (A),276,9901S320179,Curso
Agrícola,ELABORADOR (A) DE PRODUCTOS A BASE DE PULPA DE FRUTAS,766,9901S320180,Curso
Agrícola,FRUTICULTOR (A),516,9901S320181,Curso
Agrícola,OPERADOR (A) DE MAQUINARIAS Y EQUIPOS AGRÍCOLAS,466,9901S320182,Curso
Agrícola,OPERADOR (A) DE SISTEMA DE RIEGO POR GRAVEDAD,366,9901S320183,Curso
Agrícola,PESCADOR ARTESANAL,566,9901S320184,Curso
Agrícola,PROCESADOR DE ALIMENTOS CONCENTRADOS PARA ANIMALES,502,9901S320185,Curso
Agrícola,PROCESADOR (A) DE CAFÉ,546,9901S320186,Curso
