motores_economicos_id,denominacion,horas,identificador,modalidad_id
Agropecuaria y Agroindustria(Alimentos),ADMINISTRACIÓN DE EMPRESAS AGROPECUARIAS ,120,1113001,Curso
Agropecuaria y Agroindustria(Alimentos),BÁSICO DE AGRICULTURA ,350,1113931,Curso
Agropecuaria y Agroindustria(Alimentos),AGROECOLOGIA Y DESARROLLO SUSTENTABLE,133,1215003,Curso
Agropecuaria y Agroindustria(Alimentos),ASISTENCIA AL VETERINARIO,240,1113182,Curso
Agropecuaria y Agroindustria(Alimentos),CONSTRUCCIÓN DE SEMILLEROS ,72,1113007,Curso
Agropecuaria y Agroindustria(Alimentos),CRÍA DE CERDOS,240,1113012,Curso
Agropecuaria y Agroindustria(Alimentos),CRÍA DE POLLOS DE ENGORDE,220,1113189,Curso
Agropecuaria y Agroindustria(Alimentos),CULTIVO DE CACAO,300,1113028,Curso
Agropecuaria y Agroindustria(Alimentos),CULTIVO DE CAFÉ,300,1215055,Curso
Agropecuaria y Agroindustria(Alimentos),CULTIVO DE HORTALIZAS,207,1215023,Curso
Agropecuaria y Agroindustria(Alimentos),CULTIVO DE ALGODÓN ,90,1113959,Curso
Agropecuaria y Agroindustria(Alimentos),CULTIVO DE AUYAMA,200,1113072,Curso
Agropecuaria y Agroindustria(Alimentos),CULTIVO DE MUSÁCEAS,200,1113098,Curso
Agropecuaria y Agroindustria(Alimentos),CULTIVO DE PIMENTÓN,200,1113094,Curso
Agropecuaria y Agroindustria(Alimentos),CULTIVO DE PIÑA  ,200,1215936,Curso
Agropecuaria y Agroindustria(Alimentos),CULTIVO DE RAÍCES Y TUBÉRCULOS,180,1215978,Curso
Agropecuaria y Agroindustria(Alimentos),CULTIVO DE SOLANÁCEAS   ,310,1113077,Curso
Agropecuaria y Agroindustria(Alimentos),CULTIVO DE TOMATES,240,1113971,Curso
Agropecuaria y Agroindustria(Alimentos),CULTIVO DE YUCA,250,1215027,Curso
Agropecuaria y Agroindustria(Alimentos),CULTIVO DE ZÁBILA ,130,1113945,Curso
Agropecuaria y Agroindustria(Alimentos),CULTIVOS ORGANOPÓNICOS,120,1114948,Curso
Agropecuaria y Agroindustria(Alimentos),CUNICULTURA,230,1215030,Curso
Agropecuaria y Agroindustria(Alimentos),GRANJAS  INTEGRALES ,800,1112102,Curso
Agropecuaria y Agroindustria(Alimentos),HUERTO ESCOLAR ,280,1113033,Curso
Agropecuaria y Agroindustria(Alimentos),HUERTO FAMILIAR,200,1113100,Curso
Agropecuaria y Agroindustria(Alimentos),JARDINERÍA DE MANTENIMIENTO ,200,1113934,Curso
Agropecuaria y Agroindustria(Alimentos),LOMBRICULTURA    ,135,1113036,Curso
Agropecuaria y Agroindustria(Alimentos),MANEJO DE CONTROLADORES BIOLÓGICOS,65,1217979,Curso
Agropecuaria y Agroindustria(Alimentos),"MANEJO INTEGRADO DE PLAGAS, ENFERMEDADES Y MALEZAS EN LOS CULTIVOS                     ",220,1113037,Curso
Agropecuaria y Agroindustria(Alimentos),MARINERÍA,200,1113933,Curso
Agropecuaria y Agroindustria(Alimentos),ORGANIZACIÓN DE EMPRESAS COMUNITARIAS AGRÍCOLAS,140,1113041,Curso
Agropecuaria y Agroindustria(Alimentos),PRODUCCIÓN DE GANADO BOVINO DE DOBLE PROPÓSITO (LECHE Y CARNE)   ,200,1113937,Curso
Agropecuaria y Agroindustria(Alimentos),PRODUCCIÓN DE PASTOS Y FORRAJES,150,1215053,Curso
Agropecuaria y Agroindustria(Alimentos),USO Y MANTENIMIENTO DE TRACTORES E IMPLEMENTOS AGRÍCOLAS,240,1113068,Curso
Agropecuaria y Agroindustria(Alimentos),VIVERISTA PROPAGADOR DE PLANTAS,300,1113070,Curso
Modelos de Gestión,ADMINISTRACIÓN DE LA PEQUEÑA Y MEDIANA EMPRESA  ,160,56114111,Curso
Modelos de Gestión,ADMINISTRACIÓN PRESUPUESTARIA,20,56215116,Curso
Modelos de Gestión,ALMACEN                     ,150,56113029,Curso
Modelos de Gestión,ASISTENTE DE GUARDERÍA,240,96113004,Curso
Modelos de Gestión,ATENCIÓN AL PÚBLICO  ,30,56215009,Curso
Modelos de Gestión,AUXILIAR DE CONTABILIDAD,360,56113117,Curso
Modelos de Gestión,AUXILIAR DE PREESCOLAR,400,63112017,Curso
Modelos de Gestión,BARBERÍA,200,98113021,Curso
Modelos de Gestión,BÁSICO DE RELACIONES PÚBLICAS  ,110,0,Curso
Modelos de Gestión,BÁSICO DE SUPERVISIÓN     ,20,60218057,Curso
Modelos de Gestión,CAJERO INTEGRAL ,200,56114093,Curso
Modelos de Gestión,COMPORTAMIENTO ORGANIZACIONAL ,20,60215094,Curso
Modelos de Gestión,COMUNICACIONES EN LA EMPRESA  ,20,58215008,Curso
Modelos de Gestión,CONTABILIDAD DE COSTOS,260,56217020,Curso
Modelos de Gestión,CONTABILIDAD SUPERIOR ,260,56215022,Curso
Modelos de Gestión,CORTE DE CABELLO,100,98113018,Curso
Modelos de Gestión,DESARROLLO Y CRECIMIENTO PERSONAL ,20,58215052,Curso
Modelos de Gestión,FORMACIÓN DE EQUIPOS EFECTIVOS DE TRABAJO,20,60216081,Curso
Modelos de Gestión,EXCELENCIA EN LA CALIDAD DE SERVICIO,20,58215051,Curso
Modelos de Gestión,EXPRESIÓN ORAL EFECTIVA,25,60215083,Curso
Modelos de Gestión,FORMACIÓN DE EQUIPOS EFECTIVOS DE TRABAJO,20,60216081,Curso
Modelos de Gestión,GERENCIA EFICAZ,30,60215085,Curso
Modelos de Gestión,HIGIENE Y SEGURIDAD OCUPACIONAL   ,20,58215046,Curso
Modelos de Gestión,IMPUESTO SOBRE LA RENTA    ,120,56215037,Curso
Modelos de Gestión,INGLÉS BÁSICO ,220,68114085,Curso
Modelos de Gestión,INGLÉS INTERMEDIO ,220,68215080,Curso
Modelos de Gestión,INGLÉS PARA PERSONAL DE RECEPCIÓN DE HOTEL,50,68114087,Curso
Modelos de Gestión,LIDERAZGO Y CULTURA ORGANIZACIONAL ,20,60215037,Curso
Modelos de Gestión,MANEJO DEFENSIVO EN CASO DE TERREMOTOS,26,96215056,Curso
Modelos de Gestión,MANICURE Y PEDICURE   ,244,98113019,Curso
Modelos de Gestión,MOTIVACIÓN AL LOGRO     ,20,60215040,Curso
Modelos de Gestión,MUÑEQUERÍA ,400,4113031,Curso
Modelos de Gestión,NOMINA DE PAGO,40,56217106,Curso
Modelos de Gestión,OPERADOR DE RIEGO  ,120,1215044,Curso
Modelos de Gestión,ORGANIZACIÓN Y ADMINISTRACIÓN DEL TRABAJO,16,58215056,Curso
Modelos de Gestión,ORTOGRAFÍA Y REDACCIÓN      ,40,65215014,Curso
Modelos de Gestión,PELUQUERÍA  ,650,98112008,Curso
Modelos de Gestión,PREVENCIÓN Y EXTINCIÓN DE INCENDIOS    (º),20,58215016,Curso
Modelos de Gestión,PROGRAMACIÓN,730,71112017,Curso
Modelos de Gestión,PROGRAMACIÓN NEUROLINGUISTICA   ,24,60215099,Curso
Modelos de Gestión,PROYECTOS SOCIOECONÓMICOS (Aspectos Básicos para su Formulación),30,56114125,Curso
Modelos de Gestión,RECEPCIONISTA,440,56112025,Curso
Modelos de Gestión,RECICLAJE DE DESECHOS ORGÁNICOS ,140,1113997,Curso
Modelos de Gestión,REDACCIÓN DE INFORMES TÉCNICOS,20,58215019,Curso
Modelos de Gestión,RELACIONES HUMANAS  ,30,58215021,Curso
Modelos de Gestión,REPARACIÓN DE CELULARES,30,29217042,Curso
Modelos de Gestión,REPARACIÓN DE MICROCOMPUTADORAS ,400,29112038,Curso
Modelos de Gestión,SEGURIDAD INDUSTRIAL Y AMBIENTE DE TRABAJO,20,58215054,Curso
Modelos de Gestión,SEGURIDAD EN ESPACIOS CONFINADOS,20,0,Curso
Modelos de Gestión,SERVICIOS BANCARIOS,20,56215057,Curso
Modelos de Gestión,SUELDOS Y SALARIOS,20,60215056,Curso
Modelos de Gestión,SUPERVISIÓN AVANZADA,20,60215098,Curso
