codigo,carrera_universitaria
001,Medicina Veterinaria
002,Farmacia
003,Estudios Ambientales
004,Ingeniería Química
005,Química
006,Bioanálisis
007,Medicina
008,Educación Mención Ciencias Físico Naturales
009,Educación Mención Biología y Química
010,Educación Mención Biología
011,Biología Marina
012,Educación Mención Física
013,Ciencias Estadísticas
014,Educación Mención Matemática
015,Ciencias Actuariales
016,Farmacia
017,Educación Mención Química
018,Matemática Mención Docencia en Matemática 
019,Manejo de Emergencias y Acción Contra Desastres 
020,Tecnología de Incendios
021,Arquitectura 
022,Diseño Gráfico
023,Diseño Industrial
024,Ingeniería Civil
025,Ingeniería en Diseño Industrial
026,Urbanismo 
027,Ingeniería en Equipos Ferroviarios 
028,Diseño Integral
029,Electricidad (Técnica) 
030,Ingeniería Aeronáutica 
031,Ingeniería de Administración de Obras 
032,Ingeniería de Mantenimiento 
033,Ingeniería en Mantenimiento Mecánico 
034,Ingeniería Eléctrica 
035,Ingeniería Electrónica 
036,Ingeniería Electrónica de Computación 
037,Ingeniería Electrónica Mención Telecomunicaciones 
038,Ingeniería en Mantenimiento de Obras 
039,Ingeniería Mecánica 
040,Ingeniería Mecánica Mención Mantenimiento 
041,Ingeniería Naval 
042,Mecánica (Técnica) 
043,Ingeniería Marítima 
044,Ingeniería Mecatrónica 
045,Ingeniería Electrónica Mención Automatización y Control 
046,Ingeniería Electrónica Mención Mecatrónica 
047,Ingeniería Biomédica 
048,Informática para La Gestión Social 
049,Ingeniería en Comunicaciones y Electrónica 
050,Metalurgia (Técnica) 
051,Metalurgia y Ciencias de los Materiales
052,Tecnología de los Materiales (Técnica) 
053,Ingeniería de Materiales 
054,Ingeniería Metalúrgica 
055,Petróleo 
056,Procesos de Refinación de Petróleo
057,Tecnología de Gas 
058,Tecnología Petrolera 
059,Ingeniería de Petróleo 
060,Ingeniería de Gas 
061,Ingeniería Petroquímica 
062,Ingeniería en Refinación y Petroquímica 
063,"Ingeniería en Hidrocarburos, mención: Petróleo "
064,"Ingeniería en Hidrocarburos, mención: Gas "
065,Calidad Integral (Técnica) 
066,Control de Calidad 
067,Higiene y Seguridad Industrial 
068,Producción Industrial (Técnica) 
