codigo,especialidad
ING,INGENIERO
LHI,LICENCIADO EN HISTORIA
LHA,LICENCIADO EN HISTORIA DE LAS ARTES PLASTICAS Y MUSEOLOGIA
LHC,LICENCIADO EN HISTORIA ECLESIASTICA
LHO,LICENCIADO EN HOTELERIA
LID,LICENCIADO EN IDIOMAS MODERNOS
LINF,LICENCIADO EN INFORMATICA
LLE,LICENCIADO EN LETRAS
LMT,LICENCIADO EN MATEMATICA
LMA,LICENCIADO EN MEDIOS AUDIOVISUALES
LME,LICENCIADO EN MERCADEO
LMU,LICENCIADO EN MUSICA
LND,LICENCIADO EN NUTRICION Y DIETETICA
LPF,LICENCIADO EN PLANIFICACION
LPS,LICENCIADO EN PSICOLOGIA
LPB,LICENCIADO EN PUBLICIDAD
LQM,LICENCIADO EN QUIMICA
LRI,LICENCIADO EN RELACIONES INDUSTRIALES
LSO,LICENCIADO EN SOCIOLOGIA
LTE,LICENCIADO EN TEATRO
LTA,LICENCIADO EN TECNOLOGIA DE ALIMENTOS
LTE,LICENCIADO EN TEOLOGIA
LTO,LICENCIADO EN TERAPIA OCUPACIONAL
LTS,LICENCIADO EN TRABAJO SOCIAL
LTU,LICENCIADO EN TURISMO
MED,MAGISTER EN EDUCACION
MSE,MAGISTER EN SEGURIDAD
MDC,MEDICO
MDV,MEDICO VETERINARIO
MER,MERCANTE
ODO,ODONTOLOGO
PEN,PERITO NAVAL
PEP,PERITO PESQUERO
PIC,PILOTO AVIADOR COMERCIAL
POL,POLITOLOGO
PAI,PROFESOR DE ARTES INDUSTRIALES
PEA,PROFESOR DE EDUCACION AGROPECUARIA
PEE,PROFESOR DE EDUCACION ESPECIAL
PEM,PROFESOR DE EDUCACION MUSICAL
PEI,PROFESOR DE ELECTRICIDAD INDUSTRIAL
PEC,PROFESOR DE ELECTRONICA INDUSTRIAL
PIN,PROFESOR DE INFORMATICA
PMI,PROFESOR DE MECANICA INDUSTRIAL
PDT,PROFESOR EN DIBUJO TECNICO
PCO,PROFESOR EN EDUCACION COMERCIAL
