codigo,mision
MAY,Misión por Amor Mayor
TVV,Misión a toda vida Venezuela
VIV,Misión Vivienda
CAN,Misión Canaima
BAD,Misión Barrio Adentro Deportivo
CCA,Misión Cultura Corazón Adentro
ALM,Misión Alma Máter
ASF,Misión Asfalto
JES,Misión Niño Jesús
MBR,Misión Madres del Barrio
NNB,Misión Niños y Niñas del Barrio
BA1,Misión Barrio Adentro 1
BA2,Misión Barrio Adentro 2
BA3,Misión Barrio Adentro 3
BA4,Misión Barrio Adentro 4
GUA,Misión Guaicaipuro
IDE,Misión Identidad
CUL,Misión Cultura
ALI,Misión Alimentación
MIR,Misión Miranda
PIA,Misión Piar
RB1,Misión Robinson I
RB2,Misión Robinson II
RIB,Misión Ribas
SUC,Misión Sucre
MIL,Misión Milagro
SON,Misión Sonrisa
CIE,Misión Ciencia
MUS,Misión Música
JGH,Misión José Gregório Hernández
ARB,Misión Árbol
REN,Misión Revolución Energética
13A,Misión Trece de Abril
NHP,Misión Negra Hipólita
VUC,Mision Vuelvan Caras
ZAM,Misión Zamora
HAB,Misión Habitad
VLL,Misión Villanueva
CHE,Misión Ché Guevara
GAG,Gran Misión AgroVenezuela
GMV,Gran Misión Vivienda Venezuela
GAM,Gran Misión En Amor Mayor
GHH,Gran Misión Hijos e Hijas de Venezuela
GST,Gran Misión Saber y Trabajo
GTV,Gran Misión A Toda Vida Venezuela
GMB,Gran Misión Madres del Barrio
