codigo,red_social,tipo_red
FBK,Facebook,Red Personal
TWR,Twitter,Microbloging
IDE,Identi.ca,Microbloging
LNK,LinkedIn,Red Profesional
PSA,Picasa,Galería de Imágenes
FKR,Flicker,Galería de Imágenes
IGR,Instagram,Galería de Imágenes
TWP,Twit Pic,Galería de Imágenes
GOP,Google+,Red Personal
WAP,WhatsApp,Mensajería Instantánea
PBB,BlackBerry PIN,Mensajería Instantánea
SKY,Skype,Mensajería Instantánea
MSN,MS Network,Mensajería Instantánea
WPS,Wordpress,Blog
BLG,Blogger,Blog
BDO,Badoo,Red Personal
YTB,YouTube,Galería de Videos
VIM,Vimeo,Galería de Videos
