annio,cantidad_dias,codigo,fecha_gaceta_oficial,gaceta_oficial,mes,tasa_interes
2014,31,E14,2014-02-08,40389,1,15.73
2014,28,F14,2014-03-08,40371,2,16.27
2014,31,M14,2014-04-08,40389,3,15.59
2014,31,A14,2014-05-08,40413,4,16.38
2014,31,Y14,2014-06-11,40431,5,16.57
2014,30,J14,2014-07-09,40450,6,16.56
2014,31,L14,2014-08-07,40470,7,17.15
2014,31,G14,2014-08-11,40495,8,17.94
2014,30,S14,2014-09-11,40516,9,17.76
2014,31,O14,2014-09-11,40516,10,17.76
2014,30,N14,2014-09-11,11,11,17.76
2014,31,D14,2014-09-11,12,12,17.76
